x,y
0.100,0.099
0.200,0.197
0.300,0.294
0.400,0.390
0.500,0.485
0.599,0.579
0.698,0.671
0.797,0.762
0.896,0.852
0.995,0.941
1.094,1.029
1.193,1.116
1.292,1.202
1.391,1.287
1.490,1.371
1.588,1.454
1.686,1.536
1.784,1.617
1.882,1.697
1.980,1.776
2.078,1.854
2.176,1.930
2.274,2.005
2.372,2.079
2.470,2.152
2.567,2.224
2.664,2.295
2.761,2.365
2.858,2.434
2.955,2.502
3.052,2.569
3.149,2.635
3.246,2.700
3.343,2.764
3.440,2.827
3.536,2.889
3.632,2.950
3.728,3.010
3.824,3.069
3.920,3.127
4.016,3.184
4.112,3.240
4.208,3.295
4.304,3.348
4.400,3.400
4.495,3.451
4.590,3.501
4.685,3.550
4.780,3.598
4.875,3.645
4.970,3.691
5.065,3.736
5.160,3.780
5.255,3.823
5.350,3.865
5.444,3.906
5.538,3.946
5.632,3.985
5.726,4.023
5.820,4.060
5.914,4.096
6.008,4.131
6.102,4.165
6.196,4.198
6.290,4.230
6.384,4.261
6.477,4.291
6.570,4.320
6.663,4.348
6.756,4.375
6.849,4.401
6.942,4.426
7.035,4.450
7.128,4.473
7.221,4.495
7.314,4.516
7.407,4.536
7.499,4.555
7.591,4.573
7.683,4.590
7.775,4.606
7.867,4.621
7.959,4.635
8.051,4.648
8.143,4.660
8.235,4.671
8.327,4.681
8.419,4.690
8.510,4.698
8.601,4.705
8.692,4.711
8.783,4.716
8.874,4.720
8.965,4.723
9.056,4.725
9.147,4.726
9.238,4.726
9.329,4.725
9.420,4.723
9.511,4.720
9.601,4.716
9.691,4.711
9.781,4.705
9.871,4.698
9.961,4.690
10.051,4.681
10.141,4.671
10.231,4.660
10.321,4.648
10.411,4.635
10.501,4.622
10.590,4.608
10.679,4.593
10.768,4.577
10.857,4.560
10.946,4.542
11.035,4.523
11.124,4.503
11.213,4.482
11.302,4.460
11.391,4.437
11.480,4.413
11.568,4.388
11.656,4.362
11.744,4.335
11.832,4.307
11.920,4.278
12.008,4.248
12.096,4.217
12.184,4.185
12.272,4.152
12.360,4.118
12.448,4.083
12.535,4.048
12.622,4.012
12.709,3.975
12.796,3.937
12.883,3.898
12.970,3.858
13.057,3.817
13.144,3.775
13.231,3.732
13.318,3.688
13.405,3.643
13.491,3.597
13.577,3.550
13.663,3.502
13.749,3.453
13.835,3.403
13.921,3.353
14.007,3.302
14.093,3.250
14.179,3.197
14.265,3.143
14.351,3.088
14.436,3.032
14.521,2.975
14.606,2.917
14.691,2.858
14.776,2.798
14.861,2.737
14.946,2.675
15.031,2.613
15.116,2.550
15.201,2.486
15.286,2.421
15.371,2.355
15.455,2.288
15.539,2.220
15.623,2.151
15.707,2.081
15.791,2.010
15.875,1.938
15.959,1.865
16.043,1.792
16.127,1.718
16.211,1.643
16.295,1.567
16.379,1.490
16.462,1.412
16.545,1.333
16.628,1.253
16.711,1.172
16.794,1.090
16.877,1.008
16.960,0.925
17.043,0.841
17.126,0.756
17.209,0.670
17.292,0.583
17.375,0.495
17.458,0.406
17.540,0.316
17.622,0.225
17.704,0.134
17.786,0.042
